"id","group_id"
"6bbde3f1-b489-47ff-9ffc-391fde1d16e2","0019eacd-3078-4bd1-bf41-33218f03e375"
a95b4332-c9cc-481b-a580-66063883e0d8,"009525b1-1b29-4f40-994e-8fc1bf797c6c"
f76567ed-f951-44af-89f3-b0d7538e0a2e,"00bd9837-36f1-4160-9614-cb1fcd85f67a"
"6ee8e1d6-b9e5-459c-8ea7-e40c71a78557","00e5fa95-36bc-4c1e-b99e-198017e8dd03"
deb25cb8-c6e2-4388-b4b2-9b9278ff8746,"012c63cd-d608-43eb-8052-96b017670298"
"844a5f90-49cb-432b-8bce-4a41d11c8a44","019182fc-e190-46e6-9150-fd2c37b9ba7f"
b28b4bd3-f1d4-4d85-bcf2-fbcbfd0a8768,"01ebdb1b-b218-4bd5-9086-81bf5424ba88"
"0deda0c7-47ff-4e2a-b0d0-17638a75d2a2","023a18b3-700d-41ff-8140-daea6e919371"
"2f645f65-9ecf-4aeb-9c85-24a107f19abd","026815f2-f6f6-4de3-a534-6056db70bd20"
"942a857e-aa30-4510-a701-758e748905f1","0269b347-d3e4-4a41-9d97-606332ca6c5d"
"538d1ad9-f485-444c-bf64-beb99c392a41","02774386-9c46-4e45-9719-3513d1dc9f28"
"2935a63d-8c20-4dc8-a6da-31fff992c1d6","027f0d95-daa6-477e-b64b-09066d996ee7"
"06f49e0c-bc69-4886-9ba8-76e94dd7c641","02b4631d-e3eb-4312-92aa-3ed6f23ddf64"
b8a5f573-efcb-40d2-9872-7b7269d006be,"02c6b0de-da70-4495-ab8e-951527cd94c4"
"3a82aae4-0e2b-4a22-aead-5467dc2efeca","02ce05b2-e1a8-468b-b7c2-08ac929ca19b"
b455c444-222a-49ef-ad7e-dac1d8f936ff,"037fc8f2-5fc0-4a98-938d-7df250c2eeff"
f0563c7d-296d-4264-b5c8-8de84a5024ae,"03c832e9-038a-45b4-b546-075a9adcf3e4"
"9e382421-f3d0-483f-9d63-920184fe7dd9","03f8ace0-7c3b-4a14-adc9-fdf8079720ec"
"7e46f9dc-c0be-406d-8fe2-2b668d8ca10c","04064674-3b22-415a-b9d0-ebe66e1d9299"
"709d55c9-da9d-4553-b093-14a5342f3d2e","057f82b8-ca92-489c-9ae5-7239a56e6716"
fdcde2bc-9006-471a-acc0-4aa71bbee23d,"059e0396-caad-43d9-bf9a-167a790d77ee"
cfe8416c-21fd-431e-88c1-e6dbc817e1a0,"059f397c-2b7c-4ae5-878a-784ecc8d9089"
"356c170e-5cf4-4f02-a3ae-d7d1f7b6363b","0777f3cc-b884-45d4-b3bd-9aeac9de0199"
"6e94374e-f68e-4ec4-b82b-5433a4292668","07a43631e500aca4"
"602327b0-734c-4aac-a417-c26735bcb128","07dba2d2-5287-4adc-9463-06ade227a540"
ffb45d21-e982-4213-bc4a-27375e5db2c1,"07f552e3-1944-4afd-a4d3-ea4abcb3ce7b"
af046c2c-508f-43b9-bdfe-95c15306f79c,"0849aaa9-afdb-4134-b110-2f2d52427de4"
a22bc2db-0760-410c-b2b0-8e96ffb28656,"084c7c2f-e4cc-4c62-bdd2-7ef3e3ea158f"
"6bbf9dc7-7fcf-427e-8061-d7de57680ff5","08e7e80a-0bb3-4f18-9a89-5eb390bec82b"
"67109ee1-b52e-4523-8bf5-9e332cd8f5df","0924783a-6004-4bec-b8c1-2d167c4c0cee"
f380a241-a283-4b1c-ba06-5ffd51c5fc03,"09d644bb-0319-4e73-87c9-12268c7e9cf3"
eb2d8444-19bf-4525-a3d1-d8ebe5dbb90e,"0a8cae45-167d-4523-86da-5b590f83f8bf"
e5a6f007-aa38-42d9-9ea3-d20fdd0eaf83,"0b3f3665-8410-40d9-814b-5fe00333d87a"
"4bf6f949-cf26-4e4f-bdf9-2a085af80d06","0ba2dced-a320-410d-a703-a970e50da155"
"984e96e0-1bdf-4df4-aa7f-5abeb349a0ec","0d013245-8bff-4ee7-9079-7b33000951d7"
"090b09d2-018c-40b9-95d8-dad13a3b9f48","0da0b39e-cd2a-4568-8d3f-e27ff5f5039d"
"991520b3-c163-4196-afbd-82d1a7720591","0f2f501c-d5be-45b2-bc66-49b26a6933f3"
"6fc0e445-9859-43ac-a056-39af0c2196b3","1015debb-c62d-4f7b-bc4a-53c9649b74ee"
f48bf0ba-a341-4bdd-a2ff-47e925a208f5,"1074c1b2-18e6-4223-b303-b06d122cce8f"
dcc2aa1d-ab98-401c-8d7c-c3f39eb354ee,"10f335ac-373b-4928-ac7b-d7506dbe37e1"
"07d85095-f261-45d6-8f10-1e31d6d99006","11ca62ec-d5a6-4bd2-8c12-5d1103194771"
"22204bab-53d6-49fa-bbe4-5ecef6cc4c70","11ca62ec-d5a6-4bd2-8c12-5d1103194771"
"4c956c19-2133-45f5-ba4d-150b4de2139e","11ca62ec-d5a6-4bd2-8c12-5d1103194771"
"5c552770-71f1-495c-8755-b383cca7c272","11ca62ec-d5a6-4bd2-8c12-5d1103194771"
"7431f6c2-0e4a-483f-8714-8c3e4f10af25","11ca62ec-d5a6-4bd2-8c12-5d1103194771"
afb3779d-f45b-4628-87b3-dada9d72b0e6,"11ca62ec-d5a6-4bd2-8c12-5d1103194771"
b294e050-9a3e-4fe6-8bdd-d78d38837e43,"11ca62ec-d5a6-4bd2-8c12-5d1103194771"
cec982a5-d4f8-4a81-a21f-82be80d9b124,"11ca62ec-d5a6-4bd2-8c12-5d1103194771"
f04a64d2-3634-44c9-9d1c-ca8f20579f80,"11ca62ec-d5a6-4bd2-8c12-5d1103194771"
feab8618-ea23-4448-9381-7fe71f55408d,"11ca62ec-d5a6-4bd2-8c12-5d1103194771"
"74f9ebdd-a04c-4ca5-af42-b6a7c7f2e258","11d8b581-afcd-4d94-b291-8fb8ebb14762"
"45e6f923-6b42-49d4-8939-d405106474d2","12fa8d37-a939-4d29-9b80-818df722ef43"
"464e2ac4-f3c3-4f6f-a223-f8a4b5f83fb4","12ff52a3-2332-446c-b89d-6d7e5c1eed11"
"6573a0ea-4380-4a9e-9d4a-0d349dc61d74","135c07b6-39af-4b49-9037-2bfeb2d1bbee"
f81c220d-1c16-472f-8c8d-1e348dfae45d,"13b496c8-4cbe-4ec1-94f1-063a5ca092f3"
"76f4365c-c83b-471b-b0e5-e67c7deba0c7","140eb752-b7cd-4695-a125-6f793db285ee"
feaa5d4b-05ca-4fbc-9c06-5ff349f35e24,"1410c10d-dc94-4e7e-b160-3ee87634f69f"
"45fe09c1-7da7-43f1-b6ca-079cec4cace6","143abb09-1757-4cca-a8d1-50ca1d31bcc0"
e0741e54-1cf2-4294-be5e-080cfcbbc1d6,"14c68aee-ee7b-435e-814e-b9a78852526b"
"739b61a0-5c5b-4465-be26-f71879d64d2c","14e8237b-de1d-4c66-9208-d0d5b0b43123"
"3db2e7c6-5a28-4a11-abf8-a16454cb10ff","15405de2-f116-476a-8ee4-3ee9a3109642"
ea8d7826-d42a-4386-9921-24bfbf6e7b76,"15c705cc-b3f2-463a-baca-050b370e1cc7"
e6edef16-98a9-40e3-a2ee-8a5255dbecbe,"15f55682-9601-403c-a1cb-8da649cc3ec1"
c9c865f0-9f06-4923-8617-d96fa18c368b,"162b30aa-2336-4d7b-9b54-78b539ddac74"
